timestamp,elapsed_sec,event_type,value
23:05:33.132,5.886,CALIBRATED,baseline=0.401 threshold=0.301
23:07:35.008,127.761,DROWSY,EAR=0.302 frames=28
23:07:37.103,129.856,DROWSY,EAR=0.304 frames=31
23:07:44.714,137.468,DROWSY,EAR=0.308 frames=23
23:07:53.542,146.295,DROWSY,EAR=0.303 frames=20
23:07:56.803,149.557,DROWSY,EAR=0.310 frames=44
23:08:13.428,166.182,DROWSY,EAR=0.308 frames=30
23:08:14.575,167.329,DROWSY,EAR=0.302 frames=25
23:08:25.897,178.651,DROWSY,EAR=0.343 frames=26
23:08:30.354,183.108,DROWSY,EAR=0.342 frames=50
23:08:43.555,196.309,YAWN,MAR=0.642
23:08:45.088,197.842,DROWSY,EAR=0.321 frames=238
23:08:50.941,203.695,DROWSY,EAR=0.314 frames=28
23:08:50.972,203.726,YAWN,MAR=0.606
23:08:57.113,209.867,YAWN,MAR=0.570
23:09:00.352,213.106,YAWN,MAR=0.603
23:09:01.886,214.64,DROWSY,EAR=0.328 frames=50
23:09:08.589,221.343,YAWN,MAR=0.634
23:09:09.909,222.663,DROWSY,EAR=0.304 frames=136
23:09:11.489,224.243,DROWSY,EAR=0.310 frames=40
23:09:13.579,226.333,DROWSY,EAR=0.302 frames=24
23:09:14.958,227.712,DROWSY,EAR=0.325 frames=40
23:09:20.932,233.686,DROWSY,EAR=0.301 frames=33
23:09:21.919,234.673,DROWSY,EAR=0.305 frames=27
23:09:22.861,235.615,DROWSY,EAR=0.306 frames=27
23:09:31.885,244.639,DROWSY,EAR=0.317 frames=21
23:10:02.222,274.976,DROWSY,EAR=0.328 frames=26
23:10:24.158,296.912,DROWSY,EAR=0.307 frames=22
