timestamp,elapsed_sec,event_type,value
22:49:18.399,6.928,CALIBRATED,baseline=0.278 threshold=0.208
22:49:21.665,10.193,DROWSY,EAR=0.259 frames=42
22:49:57.533,46.062,DROWSY,EAR=0.267 frames=38
22:50:10.951,59.479,DROWSY,EAR=0.215 frames=41
22:50:19.069,67.598,DROWSY,EAR=0.209 frames=39
22:50:22.270,70.798,DROWSY,EAR=0.287 frames=69
22:50:26.516,75.045,DROWSY,EAR=0.217 frames=105
22:50:28.670,77.198,DROWSY,EAR=0.214 frames=34
22:50:43.469,91.998,DROWSY,EAR=0.239 frames=109
22:50:54.880,103.409,DROWSY,EAR=0.240 frames=101
22:51:05.171,113.7,DROWSY,EAR=0.215 frames=22
22:51:18.377,126.905,DROWSY,EAR=0.242 frames=40
22:51:23.977,132.506,DROWSY,EAR=0.230 frames=63
22:51:25.939,134.467,DROWSY,EAR=0.208 frames=20
22:51:28.683,137.211,DROWSY,EAR=0.241 frames=33
22:51:46.171,154.7,DROWSY,EAR=0.213 frames=58
