timestamp,elapsed_sec,event_type,value
23:18:53.519,6.691,CALIBRATED,baseline=0.335 threshold=0.251
23:18:55.200,8.373,DROWSY,EAR=0.307 frames=21
23:20:11.002,84.174,DROWSY,EAR=0.292 frames=41
23:20:14.528,87.701,DROWSY,EAR=0.276 frames=43
23:20:20.436,93.609,DROWSY,EAR=0.295 frames=36
23:20:36.248,109.42,DROWSY,EAR=0.264 frames=24
23:20:43.160,116.333,DROWSY,EAR=0.343 frames=24
23:21:12.722,145.895,YAWN,MAR=0.576
23:21:12.850,146.023,DROWSY,EAR=0.260 frames=34
23:21:16.760,149.933,YAWN,MAR=0.634
23:21:17.823,150.996,DROWSY,EAR=0.353 frames=75
23:21:20.728,153.901,DROWSY,EAR=0.270 frames=48
23:21:32.179,165.352,DROWSY,EAR=0.251 frames=35
23:21:32.745,165.918,YAWN,MAR=0.650
23:21:35.378,168.551,DROWSY,EAR=0.255 frames=94
23:21:40.291,173.464,DROWSY,EAR=0.252 frames=21
23:21:43.465,176.638,YAWN,MAR=0.590
23:21:43.490,176.662,DROWSY,EAR=0.261 frames=25
23:21:44.967,178.14,DROWSY,EAR=0.266 frames=23
23:21:51.723,184.896,YAWN,MAR=0.638
23:21:54.522,187.695,YAWN,MAR=0.617
23:23:10.621,263.794,DROWSY,EAR=0.303 frames=38
